,Timestamp,car-id,car-type,gate-name
152348,2016-03-04 12:29:51,20162904122951-717,1,entrance3
152351,2016-03-04 12:43:15,20162904122951-717,1,general-gate7
152358,2016-03-04 12:59:49,20162904122951-717,1,camping0
152817,2016-03-06 21:33:40,20162904122951-717,1,camping0
152820,2016-03-06 21:50:08,20162904122951-717,1,general-gate7
152822,2016-03-06 22:03:33,20162904122951-717,1,entrance3
153435,2016-03-11 12:25:09,20162904122951-717,1,entrance3
153436,2016-03-11 12:38:31,20162904122951-717,1,general-gate7
153437,2016-03-11 12:55:05,20162904122951-717,1,camping0
153863,2016-03-13 21:17:50,20162904122951-717,1,camping0
153865,2016-03-13 21:34:18,20162904122951-717,1,general-gate7
153866,2016-03-13 21:47:43,20162904122951-717,1,entrance3
154545,2016-03-18 12:16:03,20162904122951-717,1,entrance3
154550,2016-03-18 12:29:25,20162904122951-717,1,general-gate7
154556,2016-03-18 12:45:59,20162904122951-717,1,camping0
154910,2016-03-20 21:38:42,20162904122951-717,1,camping0
154912,2016-03-20 21:55:10,20162904122951-717,1,general-gate7
154913,2016-03-20 22:08:35,20162904122951-717,1,entrance3
155439,2016-03-25 12:27:50,20162904122951-717,1,entrance3
155440,2016-03-25 12:41:12,20162904122951-717,1,general-gate7
155441,2016-03-25 12:57:46,20162904122951-717,1,camping0
155811,2016-03-27 21:20:17,20162904122951-717,1,camping0
155812,2016-03-27 21:36:45,20162904122951-717,1,general-gate7
155813,2016-03-27 21:50:10,20162904122951-717,1,entrance3
156406,2016-04-01 12:40:22,20162904122951-717,1,entrance3
156408,2016-04-01 12:53:44,20162904122951-717,1,general-gate7
156409,2016-04-01 13:10:18,20162904122951-717,1,camping0
156783,2016-04-03 21:29:32,20162904122951-717,1,camping0
156785,2016-04-03 21:46:00,20162904122951-717,1,general-gate7
156787,2016-04-03 21:59:25,20162904122951-717,1,entrance3
157605,2016-04-08 12:39:23,20162904122951-717,1,entrance3
157607,2016-04-08 12:52:45,20162904122951-717,1,general-gate7
157608,2016-04-08 13:09:19,20162904122951-717,1,camping0
157884,2016-04-10 21:44:29,20162904122951-717,1,camping0
157888,2016-04-10 22:00:57,20162904122951-717,1,general-gate7
157890,2016-04-10 22:14:22,20162904122951-717,1,entrance3
