,Timestamp,car-id,car-type,gate-name
25274,2015-06-19 14:45:44,20154519024544-322,2,entrance1
25277,2015-06-19 14:52:25,20154519024544-322,2,camping4
27600,2015-06-21 23:44:45,20154519024544-322,2,camping4
27602,2015-06-21 23:53:46,20154519024544-322,2,general-gate7
27603,2015-06-22 00:00:20,20154519024544-322,2,general-gate4
27604,2015-06-22 00:10:46,20154519024544-322,2,general-gate1
27605,2015-06-22 00:13:13,20154519024544-322,2,ranger-stop2
27607,2015-06-22 00:16:03,20154519024544-322,2,ranger-stop0
27608,2015-06-22 00:19:03,20154519024544-322,2,general-gate2
27610,2015-06-22 00:29:48,20154519024544-322,2,general-gate5
27611,2015-06-22 00:39:09,20154519024544-322,2,entrance4
31865,2015-06-26 14:49:12,20154519024544-322,2,entrance4
31877,2015-06-26 14:58:29,20154519024544-322,2,general-gate5
31885,2015-06-26 15:09:15,20154519024544-322,2,general-gate2
31887,2015-06-26 15:12:15,20154519024544-322,2,ranger-stop0
31896,2015-06-26 15:15:04,20154519024544-322,2,ranger-stop2
31899,2015-06-26 15:17:31,20154519024544-322,2,general-gate1
31910,2015-06-26 15:27:56,20154519024544-322,2,general-gate4
31916,2015-06-26 15:34:29,20154519024544-322,2,general-gate7
31936,2015-06-26 15:43:36,20154519024544-322,2,camping4
34002,2015-06-28 23:38:09,20154519024544-322,2,camping4
34003,2015-06-28 23:47:10,20154519024544-322,2,general-gate7
34005,2015-06-28 23:53:44,20154519024544-322,2,general-gate4
34006,2015-06-29 00:04:10,20154519024544-322,2,general-gate1
34007,2015-06-29 00:06:37,20154519024544-322,2,ranger-stop2
34008,2015-06-29 00:09:27,20154519024544-322,2,ranger-stop0
34009,2015-06-29 00:12:27,20154519024544-322,2,general-gate2
34010,2015-06-29 00:23:12,20154519024544-322,2,general-gate5
34012,2015-06-29 00:32:33,20154519024544-322,2,entrance4
38960,2015-07-03 14:36:38,20154519024544-322,2,entrance4
38975,2015-07-03 14:45:55,20154519024544-322,2,general-gate5
38998,2015-07-03 14:56:41,20154519024544-322,2,general-gate2
39005,2015-07-03 14:59:41,20154519024544-322,2,ranger-stop0
39013,2015-07-03 15:02:30,20154519024544-322,2,ranger-stop2
39020,2015-07-03 15:04:57,20154519024544-322,2,general-gate1
39035,2015-07-03 15:15:22,20154519024544-322,2,general-gate4
39045,2015-07-03 15:21:55,20154519024544-322,2,general-gate7
39059,2015-07-03 15:31:02,20154519024544-322,2,camping4
42732,2015-07-06 00:04:22,20154519024544-322,2,camping4
42734,2015-07-06 00:13:23,20154519024544-322,2,general-gate7
42735,2015-07-06 00:19:57,20154519024544-322,2,general-gate4
42738,2015-07-06 00:30:23,20154519024544-322,2,general-gate1
42739,2015-07-06 00:32:50,20154519024544-322,2,ranger-stop2
42740,2015-07-06 00:35:40,20154519024544-322,2,ranger-stop0
42742,2015-07-06 00:38:40,20154519024544-322,2,general-gate2
42747,2015-07-06 00:49:25,20154519024544-322,2,general-gate5
42750,2015-07-06 00:58:46,20154519024544-322,2,entrance4
48438,2015-07-10 15:01:23,20154519024544-322,2,entrance4
48455,2015-07-10 15:10:40,20154519024544-322,2,general-gate5
48476,2015-07-10 15:21:26,20154519024544-322,2,general-gate2
48484,2015-07-10 15:24:26,20154519024544-322,2,ranger-stop0
48493,2015-07-10 15:27:15,20154519024544-322,2,ranger-stop2
48496,2015-07-10 15:29:42,20154519024544-322,2,general-gate1
48508,2015-07-10 15:40:07,20154519024544-322,2,general-gate4
48520,2015-07-10 15:46:40,20154519024544-322,2,general-gate7
48535,2015-07-10 15:55:47,20154519024544-322,2,camping4
52096,2015-07-13 00:04:38,20154519024544-322,2,camping4
52098,2015-07-13 00:13:39,20154519024544-322,2,general-gate7
52100,2015-07-13 00:20:13,20154519024544-322,2,general-gate4
52105,2015-07-13 00:30:39,20154519024544-322,2,general-gate1
52109,2015-07-13 00:33:06,20154519024544-322,2,ranger-stop2
52113,2015-07-13 00:35:56,20154519024544-322,2,ranger-stop0
52116,2015-07-13 00:38:56,20154519024544-322,2,general-gate2
52119,2015-07-13 00:49:41,20154519024544-322,2,general-gate5
52123,2015-07-13 00:59:02,20154519024544-322,2,entrance4
57327,2015-07-17 15:04:16,20154519024544-322,2,entrance4
57343,2015-07-17 15:13:33,20154519024544-322,2,general-gate5
57359,2015-07-17 15:24:19,20154519024544-322,2,general-gate2
57364,2015-07-17 15:27:19,20154519024544-322,2,ranger-stop0
57369,2015-07-17 15:30:08,20154519024544-322,2,ranger-stop2
57373,2015-07-17 15:32:35,20154519024544-322,2,general-gate1
57388,2015-07-17 15:43:00,20154519024544-322,2,general-gate4
