,Timestamp,car-id,car-type,gate-name
19165,2015-06-12 13:41:14,20154112014114-381,1,entrance0
19166,2015-06-12 13:42:37,20154112014114-381,1,general-gate1
19169,2015-06-12 13:45:04,20154112014114-381,1,ranger-stop2
19172,2015-06-12 13:47:53,20154112014114-381,1,ranger-stop0
19174,2015-06-12 13:50:52,20154112014114-381,1,general-gate2
19185,2015-06-12 14:01:35,20154112014114-381,1,general-gate5
19197,2015-06-12 14:11:10,20154112014114-381,1,camping6
21317,2015-06-14 22:25:09,20154112014114-381,1,camping6
21322,2015-06-14 22:34:40,20154112014114-381,1,general-gate5
21326,2015-06-14 22:45:23,20154112014114-381,1,general-gate2
21327,2015-06-14 22:48:21,20154112014114-381,1,ranger-stop0
21328,2015-06-14 22:51:11,20154112014114-381,1,ranger-stop2
21329,2015-06-14 22:53:36,20154112014114-381,1,general-gate1
21330,2015-06-14 22:55:03,20154112014114-381,1,entrance0
25212,2015-06-19 13:42:57,20154112014114-381,1,entrance0
25215,2015-06-19 13:44:19,20154112014114-381,1,general-gate1
25216,2015-06-19 13:46:46,20154112014114-381,1,ranger-stop2
25219,2015-06-19 13:49:35,20154112014114-381,1,ranger-stop0
25224,2015-06-19 13:52:34,20154112014114-381,1,general-gate2
25235,2015-06-19 14:03:17,20154112014114-381,1,general-gate5
25242,2015-06-19 14:12:52,20154112014114-381,1,camping6
27577,2015-06-21 22:35:11,20154112014114-381,1,camping6
27582,2015-06-21 22:44:42,20154112014114-381,1,general-gate5
27584,2015-06-21 22:55:25,20154112014114-381,1,general-gate2
27586,2015-06-21 22:58:23,20154112014114-381,1,ranger-stop0
27587,2015-06-21 23:01:13,20154112014114-381,1,ranger-stop2
27588,2015-06-21 23:03:38,20154112014114-381,1,general-gate1
27590,2015-06-21 23:05:05,20154112014114-381,1,entrance0
31808,2015-06-26 13:30:46,20154112014114-381,1,entrance0
31811,2015-06-26 13:32:08,20154112014114-381,1,general-gate1
31815,2015-06-26 13:34:35,20154112014114-381,1,ranger-stop2
31818,2015-06-26 13:37:24,20154112014114-381,1,ranger-stop0
31821,2015-06-26 13:40:23,20154112014114-381,1,general-gate2
31830,2015-06-26 13:51:06,20154112014114-381,1,general-gate5
31836,2015-06-26 14:00:41,20154112014114-381,1,camping6
33986,2015-06-28 22:48:24,20154112014114-381,1,camping6
33989,2015-06-28 22:57:55,20154112014114-381,1,general-gate5
33991,2015-06-28 23:08:38,20154112014114-381,1,general-gate2
33992,2015-06-28 23:11:36,20154112014114-381,1,ranger-stop0
33993,2015-06-28 23:14:26,20154112014114-381,1,ranger-stop2
33995,2015-06-28 23:16:51,20154112014114-381,1,general-gate1
33997,2015-06-28 23:18:18,20154112014114-381,1,entrance0
38856,2015-07-03 13:44:17,20154112014114-381,1,entrance0
38859,2015-07-03 13:45:39,20154112014114-381,1,general-gate1
38862,2015-07-03 13:48:06,20154112014114-381,1,ranger-stop2
38867,2015-07-03 13:50:55,20154112014114-381,1,ranger-stop0
38873,2015-07-03 13:53:54,20154112014114-381,1,general-gate2
38890,2015-07-03 14:04:37,20154112014114-381,1,general-gate5
38913,2015-07-03 14:14:12,20154112014114-381,1,camping6
42697,2015-07-05 22:27:39,20154112014114-381,1,camping6
42702,2015-07-05 22:37:10,20154112014114-381,1,general-gate5
42707,2015-07-05 22:47:53,20154112014114-381,1,general-gate2
42710,2015-07-05 22:50:51,20154112014114-381,1,ranger-stop0
42712,2015-07-05 22:53:41,20154112014114-381,1,ranger-stop2
42715,2015-07-05 22:56:06,20154112014114-381,1,general-gate1
42716,2015-07-05 22:57:33,20154112014114-381,1,entrance0
48307,2015-07-10 13:44:09,20154112014114-381,1,entrance0
48310,2015-07-10 13:45:31,20154112014114-381,1,general-gate1
48312,2015-07-10 13:47:58,20154112014114-381,1,ranger-stop2
48316,2015-07-10 13:50:47,20154112014114-381,1,ranger-stop0
48321,2015-07-10 13:53:46,20154112014114-381,1,general-gate2
48344,2015-07-10 14:04:29,20154112014114-381,1,general-gate5
48359,2015-07-10 14:14:04,20154112014114-381,1,camping6
52086,2015-07-12 22:50:04,20154112014114-381,1,camping6
52088,2015-07-12 22:59:35,20154112014114-381,1,general-gate5
52089,2015-07-12 23:10:18,20154112014114-381,1,general-gate2
52090,2015-07-12 23:13:16,20154112014114-381,1,ranger-stop0
52091,2015-07-12 23:16:06,20154112014114-381,1,ranger-stop2
52092,2015-07-12 23:18:31,20154112014114-381,1,general-gate1
52093,2015-07-12 23:19:58,20154112014114-381,1,entrance0
57177,2015-07-17 13:51:50,20154112014114-381,1,entrance0
57180,2015-07-17 13:53:12,20154112014114-381,1,general-gate1
57182,2015-07-17 13:55:39,20154112014114-381,1,ranger-stop2
57188,2015-07-17 13:58:28,20154112014114-381,1,ranger-stop0
57197,2015-07-17 14:01:27,20154112014114-381,1,general-gate2
57216,2015-07-17 14:12:10,20154112014114-381,1,general-gate5
57226,2015-07-17 14:21:45,20154112014114-381,1,camping6
60428,2015-07-19 22:25:45,20154112014114-381,1,camping6
60431,2015-07-19 22:35:16,20154112014114-381,1,general-gate5
60437,2015-07-19 22:45:59,20154112014114-381,1,general-gate2
60441,2015-07-19 22:48:57,20154112014114-381,1,ranger-stop0
60442,2015-07-19 22:51:47,20154112014114-381,1,ranger-stop2
60443,2015-07-19 22:54:12,20154112014114-381,1,general-gate1
60445,2015-07-19 22:55:39,20154112014114-381,1,entrance0
65881,2015-07-24 13:32:57,20154112014114-381,1,entrance0
65885,2015-07-24 13:34:19,20154112014114-381,1,general-gate1
65888,2015-07-24 13:36:46,20154112014114-381,1,ranger-stop2
65895,2015-07-24 13:39:35,20154112014114-381,1,ranger-stop0
65897,2015-07-24 13:42:34,20154112014114-381,1,general-gate2
65917,2015-07-24 13:53:17,20154112014114-381,1,general-gate5
65945,2015-07-24 14:02:52,20154112014114-381,1,camping6
69308,2015-07-26 22:30:57,20154112014114-381,1,camping6
69318,2015-07-26 22:40:28,20154112014114-381,1,general-gate5
69330,2015-07-26 22:51:11,20154112014114-381,1,general-gate2
69332,2015-07-26 22:54:09,20154112014114-381,1,ranger-stop0
69336,2015-07-26 22:56:59,20154112014114-381,1,ranger-stop2
69339,2015-07-26 22:59:24,20154112014114-381,1,general-gate1
69343,2015-07-26 23:00:51,20154112014114-381,1,entrance0
